Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2025-11-26,3162.89990234375,3178.0,3117.0,3118.800048828125,2508527
2025-11-27,3136.60009765625,3180.0,3125.0,3180.0,2836233
2025-11-28,3137.5,3147.300048828125,3125.0,3140.0,1616690
2025-12-01,3133.39990234375,3154.0,3122.199951171875,3137.89990234375,1747647
2025-12-02,3135.699951171875,3144.0,3120.39990234375,3131.0,2512003
2025-12-03,3180.0,3211.89990234375,3139.0,3140.0,3952112
2025-12-04,3229.199951171875,3250.0,3187.39990234375,3194.0,5025905
2025-12-05,3238.199951171875,3271.60009765625,3222.39990234375,3230.0,5244013
2025-12-08,3236.5,3259.89990234375,3208.60009765625,3243.0,2544725
2025-12-09,3208.300048828125,3233.699951171875,3181.199951171875,3230.0,2734893
2025-12-10,3189.199951171875,3225.0,3178.10009765625,3225.0,1386849
2025-12-11,3191.89990234375,3208.39990234375,3153.10009765625,3205.0,1914362
2025-12-12,3220.5,3223.0,3185.699951171875,3197.699951171875,1146554
2025-12-15,3230.199951171875,3238.199951171875,3197.300048828125,3211.10009765625,1562190
2025-12-16,3205.10009765625,3220.0,3191.10009765625,3220.0,1734623
2025-12-17,3217.800048828125,3236.89990234375,3200.5,3200.5,1376350
2025-12-18,3280.800048828125,3287.800048828125,3221.0,3228.0,2307422
2025-12-19,3282.0,3317.89990234375,3278.800048828125,3299.0,3902511
2025-12-22,3324.89990234375,3328.60009765625,3291.0,3310.0,2632816
2025-12-23,3310.0,3319.89990234375,3293.5,3319.89990234375,2365420
2025-12-24,3319.0,3327.10009765625,3296.10009765625,3304.10009765625,1367708
2025-12-26,3280.0,3320.0,3271.800048828125,3313.10009765625,1176358
